DFW,SPS,49,197,2340
DFW,LGA,217,1008,8661
GRK,DFW,51,129,5003
LAW,DFW,51,142,2474
OKC,DFW,59,157,5242
ACT,DFW,44,160,3079
DFW,TXK,58,161,1833
DFW,SJT,60,162,3103
MLU,DFW,74,189,1846
SHV,DFW,62,198,4363
DFW,GGG,55,204,1229
FSM,DFW,64,230,2491
MFE,DFW,92,236,2801
MEM,DFW,92,241,1677
ABI,DFW,52,246,4455
BPT,DFW,74,248,1820
LRD,DFW,84,268,2467
MHK,DFW,90,268,1898
DFW,SAF,104,290,1868
DFW,GCK,86,297,1272
GRI,DFW,106,329,1218
DFW,JLN,80,330,1269
MEI,DFW,98,399,892
DFW,ROW,90,449,1831
LGA,BZN,262,1058,20
LGA,PWM,77,192,111
LGA,CHO,82,234,709
PIB,MEI,33,150,889
EWR,BZN,269,1056,94
SJU,EWR,236,1024,2356
EWR,ANC,439,1099,14
EWR,JAC,269,1300,80
EWR,AVP,49,146,103
EWR,BTV,77,212,1038
ROC,EWR,75,212,1406
SJU,ATL,217,1028,2824
CLE,SJU,256,1029,86
ORD,SJU,288,1029,2025
CLT,SJU,222,1105,1415
CDV,ANC,47,148,654
ANC,AKN,59,177,126
ANC,DLG,64,259,154
ANC,ADQ,55,275,874
ANC,BET,72,316,1759
ANC,OTZ,92,324,961
ANC,ADK,175,822,177
ATL,STX,233,1053,73
LAS,ATL,242,1066,8149
DHN,ATL,57,157,2485
TRI,ATL,63,163,3818
ATL,AGS,54,167,4689
ATL,TYS,55,173,3395
SAV,ATL,63,178,6248
AVL,ATL,56,179,3659
CSG,ATL,43,183,2119
CHA,ATL,47,189,5401
ATL,TLH,63,192,4177
CAE,ATL,60,196,5347
VPS,ATL,69,204,4376
ATL,ECP,65,205,4020
HSV,ATL,54,211,4886
VLD,ATL,62,213,1846
GSP,ATL,54,214,4901
CRW,ATL,81,216,2577
MGM,ATL,54,234,4370
MLB,ATL,89,237,2649
EWN,ATL,88,239,1129
BQK,ATL,65,243,1737
LIT,ATL,89,244,3926
ATL,GTR,67,246,1824
JAN,ATL,77,253,4557
ATL,ABY,52,259,1730
PNS,ATL,70,288,4504
ATL,FAY,78,308,3229
OAJ,ATL,85,413,2238
ATL,SRQ,90,422,3847
ORD,FCA,212,1017,254
RNO,ORD,241,1123,739
ORD,PSP,238,1134,682
CMI,ORD,56,157,3354
ATW,ORD,61,165,2722
ORD,MKG,56,170,1235
CWA,ORD,68,171,2671
LSE,ORD,68,173,2202
ORD,BMI,52,174,1796
ORD,FAI,365,1775,145
ALO,ORD,70,193,1166
DAY,ORD,72,204,5051
MLI,ORD,56,206,3049
EVV,ORD,77,209,3300
LAN,ORD,60,209,1678
ORD,RST,74,211,2512
MSN,ORD,54,214,6013
TVC,ORD,68,216,3395
SPI,ORD,60,221,1910
ORD,CMX,86,224,1234
FWA,ORD,58,232,4292
STC,ORD,93,251,154
DBQ,ORD,56,254,1736
SGF,ORD,97,267,3868
PIA,ORD,55,274,4142
GRB,ORD,60,283,5261
ORD,TOL,64,294,1798
SUX,ORD,97,297,1180
MQT,ORD,83,298,557
PAH,ORD,85,307,1246
FNT,ORD,66,324,3539
EAU,ORD,76,356,1270
COU,ORD,78,389,1236
CLT,ILM,60,215,323
CLT,DAB,86,239,10
CLT,MYR,59,254,12
YAK,CDV,49,126,652
OTZ,OME,45,198,310
MKE,LAS,211,1000,2174
LAS,MHT,308,1022,18
MCO,LAS,277,1073,1875
CAK,LAS,252,1093,94
RDU,LAS,273,1123,662
FCA,MSO,54,143,1
BRW,FAI,81,242,322
ACY,MYR,82,237,650
MYR,LBE,85,260,386
MYR,IAG,110,368,230
MYR,PBG,129,636,101
JNU,YAK,51,236,650
SFO,MKE,250,1012,757
DEN,MCO,221,1011,5726
SEA,MCO,345,1036,874
PSE,MCO,171,586,826
MCO,ILG,141,680,122
MCO,ORH,166,714,634
PHX,RDU,260,1152,517
RDU,PHF,50,240,1
TTN,RDU,81,242,546
SCC,BRW,48,187,813
JNU,GST,32,119,150
PSG,JNU,43,122,654
JNU,SIT,41,175,1395
JNU,KTN,59,185,659
SFO,FLL,343,1022,2469
SAT,SFO,221,1050,714
SFO,PHL,339,1066,4097
SFO,BWI,326,1196,578
MRY,SFO,42,175,1503
SFO,SBP,62,192,2025
SFO,RDD,65,217,1412
SFO,MMH,66,280,262
BFL,SFO,72,282,1285
SFO,CEC,91,304,348
SFO,OTH,91,325,477
ACV,SFO,72,347,2535
JAX,DEN,203,1015,673
DEN,PBI,237,1049,147
DEN,ALB,221,1055,18
DEN,HNL,416,1065,657
LAR,DEN,48,145,1110
MTJ,DEN,60,156,886
DEN,PUB,48,179,508
COS,DEN,44,182,4055
GUC,DEN,56,197,525
ASE,DEN,52,237,2045
DEN,GJT,61,242,899
CPR,DEN,64,243,1864
HDN,DEN,60,245,183
HYS,DEN,71,258,1118
GCC,DEN,76,283,1253
DEN,ICT,87,304,1696
DVL,DEN,118,449,220
SEA,MSP,202,1003,5087
SEA,MDW,248,1022,2017
SEA,DTW,267,1026,3780
SEA,CHS,330,1497,52
SEA,PSC,62,289,347
DCA,PHX,276,1026,1916
CMH,PHX,233,1091,2095
YUM,PHX,57,185,3710
PHX,TUS,51,221,2286
PHX,FLG,51,228,3217
DRO,PHX,81,239,1360
TTN,UST,131,462,284
KTN,WRG,37,183,650
FLL,BQN,145,383,324
IAD,SAT,217,1043,21
SAT,JFK,238,1065,523
SAT,DAL,59,159,6011
SAT,ELP,83,215,1587
PHL,PDX,322,1058,291
BWI,ORF,53,161,2244
ISP,BWI,65,213,2972
PVD,BWI,73,214,4890
HNL,PPG,334,1023,213
GUM,HNL,442,1148,662
JMS,DVL,42,154,721
SJC,MSP,225,1019,915
BRD,MSP,50,145,1161
MSP,FSD,62,171,2525
DLH,MSP,55,197,1213
MSP,IMT,69,198,662
BJI,MSP,61,226,1329
ABR,MSP,70,240,1320
MSP,FAR,63,242,3419
MSP,RAP,98,268,2623
MSP,DSM,71,285,447
ISN,MSP,109,285,2108
MOT,MSP,94,288,1628
GFK,MSP,75,364,1427
BIS,MSP,85,404,2976
MSP,DIK,97,428,1177
MDW,BOI,206,1026,124
MDW,OAK,254,1034,1959
SNA,MDW,238,1040,308
ONT,MDW,237,1056,641
MDW,MCI,80,200,4790
SAN,DTW,269,1036,1413
LAX,DTW,276,1066,3992
AZO,DTW,52,161,726
DTW,GRR,52,173,2726
IND,DTW,67,185,1473
DTW,ERI,62,190,196
CIU,DTW,76,195,1192
SBN,DTW,59,197,2571
DTW,BUF,66,199,1618
DTW,ELM,76,204,2824
DTW,BGM,83,208,517
DTW,MBS,50,215,864
DTW,MDT,84,217,1038
DTW,LEX,75,223,977
SDF,DTW,81,227,154
SCE,DTW,71,229,416
DTW,ITH,87,242,61
DTW,APN,64,286,1095
PLN,DTW,70,317,1461
ABE,DTW,93,344,1383
ESC,DTW,75,351,1105
DTW,BGR,125,385,621
DTW,SWF,100,389,38
DCA,HPN,69,205,6
IAD,ROA,68,179,10
RIC,IAD,47,213,70
IAD,GSO,68,222,120
SYR,IAD,82,227,48
IAD,RSW,149,372,170
JFK,BUR,339,1041,631
JFK,STT,242,1061,1077
LGB,JFK,334,1216,1194
JFK,MVY,59,172,242
JFK,HYA,61,192,163
TUL,DAL,57,167,1852
DAL,MAF,67,180,2959
AMA,DAL,67,183,2381
DAL,LBB,63,192,3052
PDX,OGG,335,1036,1154
PDX,HOU,247,1090,125
SJC,AUS,207,1023,1211
SJC,LIH,319,1167,380
INL,BRD,59,194,4
IMT,RHI,41,166,554
BOI,GEG,59,155,1159
EUG,BOI,80,227,2
MSY,OAK,251,1085,354
BOS,OAK,356,1107,201
MCI,LNK,51,246,1
SAN,CVG,246,1021,7
STL,SAN,212,1060,365
FAT,SAN,70,223,388
LAX,KOA,324,1064,2746
LAX,MIA,316,1071,6006
BNA,LAX,249,1115,3245
PIT,LAX,295,1124,504
CID,LAX,280,1259,1
LAX,SMX,58,160,493
SBA,LAX,52,180,2855
CLD,LAX,46,198,1254
RDM,LAX,128,323,474
IAH,STT,280,1099,44
OGG,BLI,355,1251,175
ITO,OGG,39,143,1334
HOU,HRL,59,227,3059
HOU,CRP,49,231,2468
INL,HIB,44,190,637
BOS,ACK,46,193,232
CVG,XNA,106,271,370
OMA,STL,67,272,1852
MIA,SLC,290,1140,321
MIA,EGE,261,1160,245
MIA,EYW,46,226,1070
GNV,MIA,69,236,1141
BNA,MOB,78,221,1
SMF,IAH,228,1011,1276
IAH,BDL,232,1060,5
IAH,LCH,48,127,2110
IAH,TYR,57,151,1331
LFT,IAH,62,176,4227
IAH,AEX,58,186,1803
IAH,CLL,42,191,1364
BTR,IAH,68,223,4539
BRO,IAH,74,267,2519
GPT,IAH,83,270,2452
IAH,HOB,99,371,1086
TPA,SLC,274,1064,2
TWF,SLC,52,131,1611
SLC,CDC,58,165,1142
VEL,SLC,45,204,397
PIH,SLC,51,209,1302
RKS,SLC,54,215,58
SUN,SLC,57,218,1204
SLC,CNY,54,219,410
EKO,SLC,55,228,1035
BIL,SLC,81,246,2112
ABQ,SLC,94,247,1893
SLC,COD,76,258,673
SLC,SGU,67,268,2381
MFR,SLC,105,274,1302
IDA,SLC,56,275,2637
BTM,SLC,78,286,1287
SLC,WYS,67,290,415
HLN,SLC,84,319,1728
GTF,SLC,90,361,1772
LWS,SLC,88,401,1174
BHM,TPA,81,222,1250
